SiteName,SiteHole,SampleID,Lat,Lon,WaterDepth,MBSF,MCD,Age,ProxyValue,ProxyType,CleaningMethod,Species,LeadAuthor,Year,pubDOI,dataDOI,EnteredBy
MD01-2444,NaN,NaN,37.565,-10.134,2656,2.58,NaN,14.4,0.54428,uk,NaN,NaN,Martrat,2007,https://doi.org/10.1126/science.1139994,https://doi.org/10.1594/PANGAEA.771891,Simonoko
MD01-2444,NaN,NaN,37.565,-10.134,2656,2.61,NaN,14.57,0.52448,uk,NaN,NaN,Martrat,2007,https://doi.org/10.1126/science.1139994,https://doi.org/10.1594/PANGAEA.771891,Simonoko
MD01-2444,NaN,NaN,37.565,-10.134,2656,2.64,NaN,14.73,0.54032,uk,NaN,NaN,Martrat,2007,https://doi.org/10.1126/science.1139994,https://doi.org/10.1594/PANGAEA.771891,Simonoko
MD01-2444,NaN,NaN,37.565,-10.134,2656,2.67,NaN,14.9,0.5522,uk,NaN,NaN,Martrat,2007,https://doi.org/10.1126/science.1139994,https://doi.org/10.1594/PANGAEA.771891,Simonoko
MD01-2444,NaN,NaN,37.565,-10.134,2656,2.7,NaN,15.07,0.53207,uk,NaN,NaN,Martrat,2007,https://doi.org/10.1126/science.1139994,https://doi.org/10.1594/PANGAEA.771891,Simonoko
MD01-2444,NaN,NaN,37.565,-10.134,2656,2.73,NaN,15.23,0.51491,uk,NaN,NaN,Martrat,2007,https://doi.org/10.1126/science.1139994,https://doi.org/10.1594/PANGAEA.771891,Simonoko
MD01-2444,NaN,NaN,37.565,-10.134,2656,2.76,NaN,15.4,0.48686,uk,NaN,NaN,Martrat,2007,https://doi.org/10.1126/science.1139994,https://doi.org/10.1594/PANGAEA.771891,Simonoko
MD01-2444,NaN,NaN,37.565,-10.134,2656,2.79,NaN,15.57,0.46805,uk,NaN,NaN,Martrat,2007,https://doi.org/10.1126/science.1139994,https://doi.org/10.1594/PANGAEA.771891,Simonoko
MD01-2444,NaN,NaN,37.565,-10.134,2656,2.82,NaN,15.73,0.44561,uk,NaN,NaN,Martrat,2007,https://doi.org/10.1126/science.1139994,https://doi.org/10.1594/PANGAEA.771891,Simonoko
MD01-2444,NaN,NaN,37.565,-10.134,2656,2.85,NaN,15.9,0.45023,uk,NaN,NaN,Martrat,2007,https://doi.org/10.1126/science.1139994,https://doi.org/10.1594/PANGAEA.771891,Simonoko
MD01-2444,NaN,NaN,37.565,-10.134,2656,2.88,NaN,16.07,0.44627,uk,NaN,NaN,Martrat,2007,https://doi.org/10.1126/science.1139994,https://doi.org/10.1594/PANGAEA.771891,Simonoko
MD01-2444,NaN,NaN,37.565,-10.134,2656,2.91,NaN,16.23,0.43967,uk,NaN,NaN,Martrat,2007,https://doi.org/10.1126/science.1139994,https://doi.org/10.1594/PANGAEA.771891,Simonoko
MD01-2444,NaN,NaN,37.565,-10.134,2656,2.94,NaN,16.4,0.44528,uk,NaN,NaN,Martrat,2007,https://doi.org/10.1126/science.1139994,https://doi.org/10.1594/PANGAEA.771891,Simonoko
MD01-2444,NaN,NaN,37.565,-10.134,2656,2.97,NaN,16.57,0.43439,uk,NaN,NaN,Martrat,2007,https://doi.org/10.1126/science.1139994,https://doi.org/10.1594/PANGAEA.771891,Simonoko
MD01-2444,NaN,NaN,37.565,-10.134,2656,3,NaN,16.73,0.41657,uk,NaN,NaN,Martrat,2007,https://doi.org/10.1126/science.1139994,https://doi.org/10.1594/PANGAEA.771891,Simonoko
