Age_(ka_BP)	Greenland_Stack
37.9	-39.072
37.95	-39.002
38	-38.448
38.05	-38.663
38.1	-38.050
38.15	-37.608
38.2	-41.996
38.25	-42.095
38.3	-42.935
38.35	-41.553
38.4	-40.918
38.45	-41.962
38.5	-43.544
38.55	-41.800
38.6	-42.441
38.65	-43.734
38.7	-42.902
38.75	-44.147
38.8	-43.454
38.85	-41.695
38.9	-42.298
38.95	-41.754
39	-44.771
39.05	-43.122
39.1	-43.475
39.15	-42.292
39.2	-43.755
39.25	-43.330
39.3	-43.058
39.35	-43.731
39.4	-41.813
39.45	-44.181
39.5	-42.753
39.55	-41.868
39.6	-43.238
39.65	-42.475
39.7	-43.295
39.75	-42.327
39.8	-43.786
39.85	-42.606
39.9	-42.190
39.95	-40.826
40	-40.771
40.05	-39.674
40.1	-40.084
40.15	-43.573
40.2	-42.299
40.25	-42.468
40.3	-42.176
40.35	-41.877
40.4	-42.644
40.45	-42.302
40.5	-42.116
40.55	-43.016
40.6	-44.294
40.65	-42.835
40.7	-43.216
40.75	-43.227
40.8	-42.073
40.85	-42.044
40.9	-41.723
40.95	-41.145
41	-39.696
41.05	-39.579
41.1	-40.019
41.15	-39.269
41.2	-39.964
41.25	-38.381
41.3	-39.741
41.35	-38.796
41.4	-39.095
41.45	-43.204
41.5	-42.410
41.55	-42.577
41.6	-41.965
41.65	-42.868
41.7	-42.771
41.75	-43.582
41.8	-42.033
41.85	-43.091
41.9	-42.275
41.95	-43.200
42	-42.075
42.05	-42.314
42.1	-41.622
42.15	-42.267
42.2	-41.862
42.25	-40.608
42.3	-41.086
42.35	-40.782
42.4	-40.915
42.45	-41.867
42.5	-40.813
42.55	-40.899
42.6	-40.685
42.65	-39.699
42.7	-39.937
42.75	-40.176
42.8	-39.478
42.85	-39.810
42.9	-39.016
42.95	-39.368
43	-38.321
43.05	-38.070
43.1	-39.213
43.15	-39.749
43.2	-39.184
43.25	-39.323
43.3	-40.246
43.35	-41.461
