depths	GICC05_kaBP	d18ONGRIP2
NA	15.89	-41.43
NA	15.91	-40.985
NA	15.93	-41.995
NA	15.95	-43.065
NA	15.97	-42.25
NA	15.99	-41.045
NA	16.01	-41.07
NA	16.03	-41.785
NA	16.05	-42.12
NA	16.07	-41.84
NA	16.09	-41.355
NA	16.11	-42.145
NA	16.13	-43.975
NA	16.15	-44.105
NA	16.17	-41.785
NA	16.19	-41.955
NA	16.21	-42.72
NA	16.23	-41.78
NA	16.25	-42.97
NA	16.27	-42.06
NA	16.29	-41.14
NA	16.31	-42.19
NA	16.33	-41.38
NA	16.35	-41.42
NA	16.37	-42.185
NA	16.39	-42.41
NA	16.41	-41.14
NA	16.43	-41.265
NA	16.45	-42.21
NA	16.47	-41.19
NA	16.49	-41.665
NA	16.51	-41.915
NA	16.53	-41.21
NA	16.55	-39.745
NA	16.57	-39.335
NA	16.59	-41.03
NA	16.61	-41.595
NA	16.63	-41.05
NA	16.65	-41.69
NA	16.67	-42.785
NA	16.69	-41.835
NA	16.71	-41.22
NA	16.73	-41.105
NA	16.75	-41.675
NA	16.77	-41.04
NA	16.79	-40.055
NA	16.81	-41.25
NA	16.83	-41.35
NA	16.85	-40.1
NA	16.87	-39.95
NA	16.89	-40.045
NA	16.91	-39.9
NA	16.93	-40.32
NA	16.95	-41.21
NA	16.97	-41.67
NA	16.99	-41.82
NA	17.01	-41.56
NA	17.03	-41.405
NA	17.05	-41.255
NA	17.07	-41.34
NA	17.09	-41.135
NA	17.11	-39.875
NA	17.13	-39.375
NA	17.15	-40.685
NA	17.17	-41.11
NA	17.19	-40.03
NA	17.21	-40.36
NA	17.23	-40.525
NA	17.25	-40.365
NA	17.27	-40.71
NA	17.29	-41.74
NA	17.31	-41.03
NA	17.33	-39.805
NA	17.35	-40.67
NA	17.37	-41.06
NA	17.39	-40.615
NA	17.41	-40.295
NA	17.43	-40.59
NA	17.45	-42.105
NA	17.47	-42.665
NA	17.49	-41.95
NA	17.51	-41.14
NA	17.53	-40.745
NA	17.55	-41.085
NA	17.57	-41.33
NA	17.59	-40.055
NA	17.61	-39.665
NA	17.63	-41.16
NA	17.65	-40.725
NA	17.67	-39.64
NA	17.69	-40.295
NA	17.71	-40.47
NA	17.73	-40.375
NA	17.75	-41.61
NA	17.77	-41.95
NA	17.79	-41.345
NA	17.81	-41.175
NA	17.83	-40.965
NA	17.85	-39.92
NA	17.87	-40.205
NA	17.89	-41.92
NA	17.91	-42.885
NA	17.93	-42.255
NA	17.95	-41.025
NA	17.97	-41.72
NA	17.99	-42.125
NA	18.01	-42.63
NA	18.03	-42.895
NA	18.05	-42.475
NA	18.07	-42.265
NA	18.09	-41.18
NA	18.11	-41.67
NA	18.13	-42.835
NA	18.15	-42.825
NA	18.17	-42.89
NA	18.19	-41.78
NA	18.21	-40.635
NA	18.23	-40.83
NA	18.25	-41.635
NA	18.27	-42.06
NA	18.29	-41.73
NA	18.31	-43
NA	18.33	-43.255
NA	18.35	-41.435
NA	18.37	-42.26
NA	18.39	-43.11
NA	18.41	-42.72
NA	18.43	-42.675
NA	18.45	-42.125
NA	18.47	-42.005
NA	18.49	-42.18
NA	18.51	-42.55
NA	18.53	-41.44
NA	18.55	-41.125
NA	18.57	-41.97
NA	18.59	-40.82
NA	18.61	-40.425
NA	18.63	-41.905
NA	18.65	-42.135
NA	18.67	-40.89
NA	18.69	-40.67
NA	18.71	-40.535
NA	18.73	-40.915
NA	18.75	-41.4
NA	18.77	-41.055
NA	18.79	-41.85
NA	18.81	-42.45
NA	18.83	-41.835
NA	18.85	-41.35
NA	18.87	-41.065
NA	18.89	-41.42
NA	18.91	-41.175
NA	18.93	-40.325
NA	18.95	-41.31
NA	18.97	-42.22
NA	18.99	-41.475
NA	19.01	-41.48
NA	19.03	-41.7
NA	19.05	-41.73
NA	19.07	-41.11
NA	19.09	-41.33
NA	19.11	-42.21
NA	19.13	-41.93
NA	19.15	-41.76
NA	19.17	-41.985
NA	19.19	-42.625
NA	19.21	-42.065
NA	19.23	-42.54
NA	19.25	-43.13
NA	19.27	-41.525
NA	19.29	-42.13
NA	19.31	-42.5
NA	19.33	-41.975
NA	19.35	-41.57
NA	19.37	-40.845
NA	19.39	-41.48
NA	19.41	-41.715
NA	19.43	-42.305
NA	19.45	-42.98
NA	19.47	-42.71
NA	19.49	-41.585
NA	19.51	-41.1
NA	19.53	-41.765
NA	19.55	-41.765
NA	19.57	-42.005
NA	19.59	-41.795
NA	19.61	-41.74
NA	19.63	-41.495
NA	19.65	-40.655
NA	19.67	-40.865
NA	19.69	-41.35
NA	19.71	-40.875
NA	19.73	-40.72
NA	19.75	-41.765
NA	19.77	-41.745
NA	19.79	-41.42
NA	19.81	-41.5
NA	19.83	-42.22
NA	19.85	-42.925
NA	19.87	-42.21
NA	19.89	-40.79
NA	19.91	-40.455
NA	19.93	-41.06
NA	19.95	-41.035
NA	19.97	-41.13
NA	19.99	-42.1
NA	20.01	-42.38
NA	20.03	-42.4
NA	20.05	-42.325
NA	20.07	-41.825
NA	20.09	-42.205
NA	20.11	-42.74
